All 89 accesspoints
                             2 Pulls        10 Pulls        30 Pulls        60 Pulls       100 Pulls
   00:24:6c:5e:c7:23           -89.0           -88.0           -88.0          -87.92          -88.45
   00:24:6c:5c:01:a2           -76.0           -75.0          -75.58           -75.9          -75.93
   00:24:6c:5c:01:a0          -74.33          -74.45          -75.52          -75.64          -75.87
   00:24:6c:5c:01:a1          -76.67          -74.91          -75.23          -75.48          -75.47
   18:64:72:fb:42:70          -75.67          -76.55          -76.26          -76.37          -76.45
   00:1a:1e:2b:08:a0           -84.0           -85.0           -85.0          -83.29          -83.64
   00:1a:1e:2b:08:a1           -84.0           -84.0           -84.0           -83.0          -83.82
   00:1a:1e:2b:08:a2           -85.0           -87.0           -87.0           -84.8           -84.6
   00:1a:1e:2b:08:a3           -82.0           -84.5           -84.0          -83.75          -83.47
   00:24:6c:5e:c7:21               -               -               -           -86.5          -87.33
   00:24:6c:60:cb:b2           -79.0           -76.9          -75.73          -75.05          -74.68
   00:24:6c:60:cb:b1           -78.0           -76.3          -75.67          -74.86           -74.6
   00:24:6c:60:cb:b0           -77.5           -76.1          -75.59          -74.86          -74.77
   00:24:6c:60:c9:a3               -               -               -           -90.0           -91.5
   00:24:6c:60:c9:a2               -               -           -89.0          -89.33           -89.6
   00:24:6c:60:c9:a1               -               -               -           -89.0           -88.5
   00:24:6c:60:cb:a1           -71.0          -71.45          -70.52          -70.59          -70.63
   00:24:6c:5e:c7:20               -               -           -90.0           -90.0           -90.0
   18:64:72:fb:42:72           -73.0          -75.45          -75.43          -75.29          -75.28
   68:7f:74:ca:6d:7d           -56.0          -56.64          -56.87          -56.36          -56.47
   18:64:72:fb:42:71          -74.33          -76.55          -75.58          -75.47           -75.3
   00:24:6c:d2:99:42           -88.5           -88.0           -88.5          -88.78          -88.55
   00:24:6c:5c:02:e2           -80.0          -82.33          -83.67          -83.89          -84.13
   00:24:6c:5c:02:e1           -79.0           -81.0          -84.57          -85.23          -84.69
   00:24:6c:5c:02:e0           -87.0           -87.0          -85.63          -85.13          -84.91
   00:12:17:b0:68:ca           -74.0          -76.63          -77.12          -76.29           -75.9
